SKU ID,Current Stock Quantity,Units (Nos/Kg),Average Lead Time (days),Maximum Lead Time (days),Unit Price
1009AA,7210,Kg,30,48,28.76326
1077CA,46516,Kg,45,70,22.9777
1083AA,48210,Kg,45,68,29.02
1116CA,33398,Kg,90,140,32.8
1126CA,39270,Kg,45,62,32.8
1130AA,13622,Kg,90,139,17.26609
1145BA,1816,Kg,45,60,85.30066
1161AA,197,Kg,90,142,136.5925
1163CA,2161,Kg,90,136,94.66425
1193BA,2957,Kg,90,138,815
1196AA,1253,Kg,90,128,30
1206BA,786,Kg,45,69,236.62475
1214CA,2472,Kg,30,43,317.65903
1224AA,194,Kg,90,121,698
1234BA,532,Kg,45,63,498
1244AA,2834,Kg,45,67,60
1255CA,10,Kg,60,83,84500
1265CA,6,Kg,60,79,103500
1266CA,5,Kg,60,86,118900
1281BA,3,Kg,60,85,139500
1283CA,0,Kg,60,92,98333.33
1295CA,5,Kg,120,158,175000
1296CA,4,Kg,60,93,30
1308BA,8,Kg,45,63,30
1315BA,6,Kg,90,131,30
1317BA,4,Kg,90,120,30
1317CA,16,Kg,90,144,4908.7
1321BA,9,Kg,90,137,30
1325AA,6,Kg,45,69,30
1326AA,8,Kg,90,126,30
1330CA,8,Kg,60,92,6000
1366BA,12,Kg,45,67,16900
1367CA,5,Kg,90,121,22000
1373BA,9,Kg,45,59,30
1374CA,4,Kg,45,70,30
1379CA,271,Kg,45,72,490.18125
1382CA,172,Kg,90,123,613.52125
1385CA,89,Kg,45,66,1781.5475
1390BA,11,Kg,30,47,30
1403CA,10,Kg,30,42,2550
1420CA,9,Kg,30,46,30
1434BA,27,Kg,30,48,30
1436BA,81,Kg,30,41,125
1441AA,38,Kg,45,70,190
1445BA,46,Kg,30,44,1291.865
1464AA,21,Kg,30,42,842.57
1468AA,459,Kg,60,94,30
1479CA,303,Kg,60,81,385.5625
1484BA,439,Kg,15,23,0.2
1486CA,66,Kg,60,81,190.72
1488BA,45,Kg,30,47,70
1488CA,100,Kg,15,22,30
1491CA,0,Kg,30,43,30
1497CA,2096,Kg,40,53,16.71828
1499AA,4218.004,Kg,20,30,14.22359
1499CA,25,Kg,60,86,6600
1511CA,50,Kg,30,41,6.787
1514BA,13,Kg,45,68,332.8
1571AA,86,Kg,60,93,320
1582CA,23,Kg,45,63,550
1584BA,20,Kg,45,65,425
1586CA,972,Kg,30,40,286.571
1601AA,14,Kg,30,42,918.403
1624AA,17,Kg,15,21,722.101
1624CA,18,Kg,30,48,1531.377
1630BA,262,Kg,60,91,442.803
1650AA,221,Kg,60,93,284.87
1668CA,400,Kg,30,46,0.85
1672AA,415,Kg,15,24,30
1678CA,230,Kg,60,87,30
1681CA,218,Kg,30,47,93
1688CA,287,Kg,60,79,30
1695CA,30,Kg,15,22,1649.3
1698CA,15,Kg,15,24,30
1708AA,15,Kg,15,23,120
1712AA,17,Kg,15,21,30
1716AA,22,Kg,15,21,140
1741BA,21,Kg,30,41,1450
1745BA,21,Kg,15,20,175
1764AA,16,Kg,15,23,325
1766CA,11,Kg,15,24,30
1767CA,14,Kg,15,21,30
1798AA,13,Kg,15,22,375
1801AA,15,Kg,30,46,1250
1811CA,15,Kg,30,42,30
1819AA,15,Kg,30,40,30
1826AA,15,Kg,60,82,30
1827AA,15,Kg,30,48,30
1830AA,26,Kg,30,44,30
1842BA,6,Kg,30,41,6548.29
1851CA,6,Kg,60,81,30
1857AA,8,Kg,60,89,30
1872CA,6,Kg,60,89,16000
1876AA,5,Kg,30,40,22919
1882CA,6,Kg,60,87,19950
1902BA,6,Kg,60,79,30
1906CA,32,Kg,30,46,1893.75
1907AA,30,Kg,60,89,6617.42
1908AA,22,Kg,120,157,27809.1
1921AA,4,Kg,90,142,50000
1945AA,31,Kg,15,23,965
1947CA,16,Kg,30,47,30
1953AA,38,Kg,30,40,947.56
1956AA,3.46,Kg,60,90,573.09
1956CA,12,Kg,60,92,1250
1964BA,21840,Kg,60,96,99.12769
1967BA,4190.5,Kg,120,163,178.65
1970CA,790.5,Kg,60,96,244.928
1971AA,1890.5,Kg,120,177,321.9469
1979AA,1256.5,Kg,60,94,278.638
1990AA,2167.5,Kg,60,79,545.845
1992AA,2714.5,Kg,60,92,586.3916
1993AA,21334,Kg,60,94,83.75125
1994AA,4317,Kg,60,91,450.53667
1995AA,913.5,Kg,120,160,100.57182
2013AA,3371,Kg,120,189,143.8402
2016CA,2520.5,Kg,60,86,267.32395
2021CA,7873,Kg,60,86,295.27467
2025AA,2727,Kg,60,80,442.805
2039CA,1252,Kg,120,164,449.75
2041CA,1256,Kg,60,82,648.42
2044CA,1711,Kg,120,166,740.82
2053BA,115,Kg,60,89,1212.86889
2054AA,131,Kg,120,191,751.83
2054CA,219,Kg,120,174,904
2060AA,396,Kg,120,175,1101.15
2066AA,327,Kg,120,187,1550.95
2078CA,338,Kg,60,93,1129.24
2096AA,172,Kg,120,163,30
2096BA,138,Kg,60,84,1524.57667
2115CA,68,Kg,60,88,1912.27
2117BA,372,Kg,120,168,2424
2139BA,354,Kg,120,176,2032.85
2142CA,343,Kg,60,91,2956
2143AA,196,Kg,120,192,30
2170BA,372,Kg,120,171,305.19
2173CA,340,Kg,60,92,444.94
2189CA,641,Kg,60,95,299.805
2200CA,71,Kg,60,89,448
2212AA,118,Kg,120,180,747.405
2212CA,88,Kg,60,87,884.36
2220BA,107,Kg,120,183,752
2223AA,150,Kg,60,93,918.7
2227AA,160,Kg,60,80,751.635
2229AA,48,Kg,120,192,1054.24333
2229CA,107,Kg,60,80,751
2234AA,142,Kg,60,83,903
2236CA,109,Kg,120,159,1617.335
2255CA,49,Kg,60,88,1712.565
2265BA,61,Kg,120,184,1691.46333
2267CA,107,Kg,60,91,1896.44
2277AA,10253,Kg,120,158,6.37172
2291AA,2510,Kg,120,191,18.75596
2293AA,509,Kg,60,79,12.73097
2315BA,734,Kg,120,182,14.9222
2317CA,3420,Kg,60,89,37.26672
2326CA,6083.67,Kg,30,46,63.5592
2331CA,227,Kg,60,83,210.12419
2336BA,7565,Kg,30,44,7.92068
2337CA,32086,Kg,60,83,1.72706
2342CA,51818,Kg,60,86,2.77685
2348BA,30,Kg,60,89,38440
2359CA,7800,Kg,90,121,73
2365AA,503,Kg,60,83,30
2371CA,78462,Kg,90,136,3.44
2391CA,87174,Kg,45,67,0.75915
2396CA,124908,Kg,30,46,0.7646
2418CA,120860,Kg,60,85,5.8
2422BA,11006,Kg,30,45,49.9
2429BA,342553,Kg,90,122,5.28688
2449CA,66031,Kg,45,68,30
2458CA,79661,Kg,45,64,6.83263
2471CA,96647,Kg,45,65,4.77698
2473CA,73915,Kg,60,92,5.95
2483BA,107097,Kg,30,45,1.875
2484BA,1396,Kg,60,85,239.67286
2487BA,397,Kg,30,44,14.4
2488CA,22,Kg,30,42,0.95
2498BA,32,Kg,60,96,1474.56
2498CA,23,Kg,30,45,117.17
2501CA,22117,Kg,90,125,35.12175
2508BA,46,Kg,60,89,463.1
2513CA,19,Kg,30,44,4805.03
2515BA,8140,Kg,30,43,90
2524AA,3996,Kg,30,41,14
2528CA,3996,Kg,30,43,21
2539AA,187,Kg,30,45,30
2548CA,86,Kg,30,41,30
2555CA,275,Kg,30,44,682.5
2564BA,1340,Kg,60,96,309.205
2565CA,1735,Kg,30,40,463.03583
2573CA,444,Kg,60,81,1618.99
2600BA,417,Kg,60,80,1467.79
2604CA,843,Kg,30,42,129.04
2606AA,43,Kg,60,79,2041.52333
2621AA,1627,Kg,60,80,61.78333
2632AA,2670,Kg,30,41,185.82
2640BA,2588,Kg,60,84,444.45667
2646AA,277,Kg,120,157,908.33214
2661CA,711,Kg,120,157,182
2662CA,173,Kg,60,82,2015.43638
2670CA,292,Kg,60,82,4550
2672BA,96,Kg,120,171,11375
2673BA,4840,Kg,60,95,13
2680BA,4097,Kg,45,68,215.57
2714CA,9014,Kg,90,124,49.79846
2727CA,3923,Kg,90,120,21.88943
2729AA,880,Kg,90,119,76.518
2752AA,933,Kg,45,61,76.502
2763CA,8782,Kg,90,136,10.08731
2766AA,7502,Kg,90,126,363.83238
2767AA,3706,Kg,45,62,147.86565
2785BA,4220,Kg,45,63,34.48244
2803BA,4811,Kg,45,67,42.48576
2814BA,4499,Kg,90,119,50.49535
2840AA,11008,Kg,90,127,8.61042
2847BA,3638,Kg,90,118,241.79216
2867AA,265,Kg,30,47,297.635
2876CA,577,Kg,30,47,427.425
2884AA,690,Kg,15,23,30
2895CA,470,Kg,30,42,30
2923CA,495,Kg,15,22,20.18857
2925CA,131,Kg,30,43,48
2930CA,233,Kg,15,24,20.00833
2935BA,759,Kg,15,20,23.495
2938CA,304.4,Kg,15,24,29.206
2953BA,868,Kg,30,41,47.90925
2953CA,35,Kg,30,42,1519.82
2956AA,405,Kg,30,47,12.02259
2970CA,28,Kg,60,96,512.205
2977BA,442,Kg,60,89,52.8
2982AA,200,Kg,30,48,30
2987AA,15,Kg,30,43,30
2988AA,29,Kg,30,40,9261
2994CA,12,Kg,30,48,12977
3003AA,4,Kg,30,44,13182
3006CA,4,Kg,60,79,30
3007CA,5,Kg,30,47,18832.33
3016BA,6,Kg,60,79,20005.8
3025CA,15,Kg,30,45,1092.5
3027CA,27,Kg,30,46,1145.83
3038BA,10,Kg,15,22,1300
3044AA,28,Kg,15,21,1450
3053AA,273,Kg,15,23,40.87148
3075AA,233,Kg,30,47,60.38
3075BA,438,Kg,30,43,31
3079BA,13347,Kg,15,24,134.5
3084CA,44,Kg,30,45,2769.81
3098AA,88,Kg,15,22,3862.32
3120BA,119,Kg,30,42,1534.88
3125AA,144,Kg,30,43,119.136
3126BA,190,Kg,60,82,30
3132BA,34,Kg,15,24,190
3138CA,241,Kg,15,21,376.116
3143CA,646,Kg,30,41,47.764
3160BA,390,Kg,30,46,270.909
3161BA,317,Kg,30,48,360
3177CA,11771.05,Kg,30,42,69.45642
3178CA,4,Kg,30,47,26000
3180BA,250,Kg,30,46,30
3193AA,687,Kg,15,22,1425
3205AA,14,Kg,60,91,76300
3239AA,800,Kg,30,42,687.5
3249CA,86,Kg,60,87,320
3250CA,418,Kg,60,94,34.75342
3264CA,930,Kg,30,47,30
3271CA,285,Kg,30,40,34.5
3274CA,0,Kg,60,92,30
3276AA,0,Kg,30,43,30
3291CA,0,Kg,60,86,30
3296AA,0,Kg,30,44,30
3299CA,0,Kg,60,82,30
3300CA,0,Kg,30,42,30
3312AA,0,Kg,60,84,30
3322AA,6802,Kg,60,90,28.5
3332CA,0,Kg,30,46,30
3345AA,240,Kg,40,61,31.06467
3358BA,48,Kg,30,40,1363.64
3365CA,310,Kg,30,45,13.3248
3378CA,1900,Kg,15,22,1.5
3399AA,14,Kg,40,59,194.753
3404CA,86,Kg,15,24,396.54
3407CA,4,Kg,15,21,1017.592
3413AA,160,Kg,30,44,35.3004
3420AA,73,Kg,15,20,17.255
3423CA,72,Kg,15,21,29.555
3448CA,1565,Kg,30,40,6.5255
3461CA,177,Kg,15,23,30.064
3462AA,820,Kg,30,46,4.1
3494AA,2680,Kg,30,42,3.5
3495CA,427,Kg,15,22,39.835
3502BA,376,Kg,40,55,1234.335
3512AA,70141,Kg,20,31,0.10295
3533CA,82476,Kg,40,64,0.64377
3551CA,10034,Kg,20,31,7.06831
3556AA,262,Kg,30,42,1077.43125
3570CA,416,Kg,15,21,1160
3576BA,162,Kg,60,96,44.79
3579CA,116,Kg,120,187,86.65
3590BA,145,Kg,120,160,115.085
3610AA,275,Kg,120,188,156.16
3616CA,331,Kg,120,167,433.1
3619CA,36357,Kg,15,22,0.7455
