,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Clothing'}),frozenset({'Bags'}),0.3896446019733691,0.2700929207778523,0.2700929207778523,0.6931776275353412,2.566441303011678,0.16485267216554134,2.3789239140513514,1.0
1,frozenset({'Bags'}),frozenset({'Clothing'}),0.2700929207778523,0.3896446019733691,0.2700929207778523,1.0,2.566441303011678,0.16485267216554134,inf,0.8362097250475754
2,frozenset({'Electronics'}),frozenset({'Bags'}),0.39050675352045217,0.2700929207778523,0.156432608487403,0.40058874034097874,1.4831515731227085,0.05095949884558723,1.2177066537544852,0.5344769290553262
3,frozenset({'Bags'}),frozenset({'Electronics'}),0.2700929207778523,0.39050675352045217,0.156432608487403,0.5791807057989005,1.4831515731227087,0.05095949884558723,1.4483491010948883,0.44630349250141255
4,frozenset({'Footwear'}),frozenset({'Bags'}),0.3896446019733691,0.2700929207778523,0.2700929207778523,0.6931776275353412,2.566441303011678,0.16485267216554134,2.3789239140513514,1.0
5,frozenset({'Bags'}),frozenset({'Footwear'}),0.2700929207778523,0.3896446019733691,0.2700929207778523,1.0,2.566441303011678,0.16485267216554134,inf,0.8362097250475754
6,frozenset({'Home and kitchen'}),frozenset({'Books'}),0.31607433662228185,0.4764345243797299,0.27718172238720185,0.8769510531898772,1.840653874384061,0.12659299614992636,4.25493666701744,0.667784276788767
7,frozenset({'Books'}),frozenset({'Home and kitchen'}),0.4764345243797299,0.31607433662228185,0.27718172238720185,0.581783452297175,1.840653874384061,0.12659299614992636,1.635338599427443,0.872316502448706
8,frozenset({'Clothing'}),frozenset({'Electronics'}),0.3896446019733691,0.39050675352045217,0.156432608487403,0.40147510755992627,1.0280874887325082,0.004273759944013883,1.0183256438922001,0.044761027499266116
9,frozenset({'Electronics'}),frozenset({'Clothing'}),0.39050675352045217,0.3896446019733691,0.156432608487403,0.40058874034097874,1.0280874887325082,0.004273759944013883,1.0182581461246412,0.044824343687477265
10,frozenset({'Clothing'}),frozenset({'Footwear'}),0.3896446019733691,0.3896446019733691,0.3896446019733691,1.0,2.566441303011678,0.23782168612638385,inf,0.9999999999999999
11,frozenset({'Footwear'}),frozenset({'Clothing'}),0.3896446019733691,0.3896446019733691,0.3896446019733691,1.0,2.566441303011678,0.23782168612638385,inf,0.9999999999999999
12,frozenset({'Electronics'}),frozenset({'Footwear'}),0.39050675352045217,0.3896446019733691,0.156432608487403,0.40058874034097874,1.0280874887325082,0.004273759944013883,1.0182581461246412,0.044824343687477265
13,frozenset({'Footwear'}),frozenset({'Electronics'}),0.3896446019733691,0.39050675352045217,0.156432608487403,0.40147510755992627,1.0280874887325082,0.004273759944013883,1.0183256438922001,0.044761027499266116
14,"frozenset({'Clothing', 'Electronics'})",frozenset({'Bags'}),0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
15,"frozenset({'Clothing', 'Bags'})",frozenset({'Electronics'}),0.2700929207778523,0.39050675352045217,0.156432608487403,0.5791807057989005,1.4831515731227087,0.05095949884558723,1.4483491010948883,0.44630349250141255
16,"frozenset({'Electronics', 'Bags'})",frozenset({'Clothing'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
17,frozenset({'Clothing'}),"frozenset({'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
18,frozenset({'Electronics'}),"frozenset({'Clothing', 'Bags'})",0.39050675352045217,0.2700929207778523,0.156432608487403,0.40058874034097874,1.4831515731227085,0.05095949884558723,1.2177066537544852,0.5344769290553262
19,frozenset({'Bags'}),"frozenset({'Clothing', 'Electronics'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
20,"frozenset({'Clothing', 'Footwear'})",frozenset({'Bags'}),0.3896446019733691,0.2700929207778523,0.2700929207778523,0.6931776275353412,2.566441303011678,0.16485267216554134,2.3789239140513514,1.0
21,"frozenset({'Clothing', 'Bags'})",frozenset({'Footwear'}),0.2700929207778523,0.3896446019733691,0.2700929207778523,1.0,2.566441303011678,0.16485267216554134,inf,0.8362097250475754
22,"frozenset({'Bags', 'Footwear'})",frozenset({'Clothing'}),0.2700929207778523,0.3896446019733691,0.2700929207778523,1.0,2.566441303011678,0.16485267216554134,inf,0.8362097250475754
23,frozenset({'Clothing'}),"frozenset({'Bags', 'Footwear'})",0.3896446019733691,0.2700929207778523,0.2700929207778523,0.6931776275353412,2.566441303011678,0.16485267216554134,2.3789239140513514,1.0
24,frozenset({'Footwear'}),"frozenset({'Clothing', 'Bags'})",0.3896446019733691,0.2700929207778523,0.2700929207778523,0.6931776275353412,2.566441303011678,0.16485267216554134,2.3789239140513514,1.0
25,frozenset({'Bags'}),"frozenset({'Clothing', 'Footwear'})",0.2700929207778523,0.3896446019733691,0.2700929207778523,1.0,2.566441303011678,0.16485267216554134,inf,0.8362097250475754
26,"frozenset({'Electronics', 'Footwear'})",frozenset({'Bags'}),0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
27,"frozenset({'Bags', 'Footwear'})",frozenset({'Electronics'}),0.2700929207778523,0.39050675352045217,0.156432608487403,0.5791807057989005,1.4831515731227087,0.05095949884558723,1.4483491010948883,0.44630349250141255
28,"frozenset({'Electronics', 'Bags'})",frozenset({'Footwear'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
29,frozenset({'Footwear'}),"frozenset({'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
30,frozenset({'Electronics'}),"frozenset({'Bags', 'Footwear'})",0.39050675352045217,0.2700929207778523,0.156432608487403,0.40058874034097874,1.4831515731227085,0.05095949884558723,1.2177066537544852,0.5344769290553262
31,frozenset({'Bags'}),"frozenset({'Electronics', 'Footwear'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
32,"frozenset({'Clothing', 'Books'})",frozenset({'Footwear'}),0.11955168119551682,0.3896446019733691,0.11955168119551682,1.0,2.566441303011678,0.07296901396084254,inf,0.6932325100641932
33,"frozenset({'Books', 'Footwear'})",frozenset({'Clothing'}),0.11955168119551682,0.3896446019733691,0.11955168119551682,1.0,2.566441303011678,0.07296901396084254,inf,0.6932325100641932
34,frozenset({'Clothing'}),"frozenset({'Books', 'Footwear'})",0.3896446019733691,0.11955168119551682,0.11955168119551682,0.3068223724646589,2.5664413030116777,0.07296901396084254,1.2701626305150682,0.9999999999999998
35,frozenset({'Footwear'}),"frozenset({'Clothing', 'Books'})",0.3896446019733691,0.11955168119551682,0.11955168119551682,0.3068223724646589,2.5664413030116777,0.07296901396084254,1.2701626305150682,0.9999999999999998
36,"frozenset({'Electronics', 'Home and kitchen'})",frozenset({'Books'}),0.11811476195037839,0.4764345243797299,0.11811476195037839,1.0,2.098924298783553,0.061840811518324844,inf,0.5936888985444275
37,"frozenset({'Electronics', 'Books'})",frozenset({'Home and kitchen'}),0.11811476195037839,0.31607433662228185,0.11811476195037839,1.0,3.1638126988937714,0.0807817169216138,inf,0.7755268303280469
38,"frozenset({'Home and kitchen', 'Books'})",frozenset({'Electronics'}),0.27718172238720185,0.39050675352045217,0.11811476195037839,0.42612752721617414,1.0912167929865428,0.009873427405744956,1.0620708874968814,0.11564706957837767
39,frozenset({'Electronics'}),"frozenset({'Home and kitchen', 'Books'})",0.39050675352045217,0.27718172238720185,0.11811476195037839,0.30246535017784865,1.0912167929865428,0.009873427405744956,1.0362471280775705,0.13714969956835343
40,frozenset({'Home and kitchen'}),"frozenset({'Electronics', 'Books'})",0.31607433662228185,0.11811476195037839,0.11811476195037839,0.373692983785422,3.1638126988937714,0.0807817169216138,1.4080717846333055,1.0
41,frozenset({'Books'}),"frozenset({'Electronics', 'Home and kitchen'})",0.4764345243797299,0.11811476195037839,0.11811476195037839,0.2479139439026842,2.098924298783553,0.061840811518324844,1.1725855450981935,1.0
42,"frozenset({'Clothing', 'Electronics'})",frozenset({'Footwear'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
43,"frozenset({'Clothing', 'Footwear'})",frozenset({'Electronics'}),0.3896446019733691,0.39050675352045217,0.156432608487403,0.40147510755992627,1.0280874887325082,0.004273759944013883,1.0183256438922001,0.044761027499266116
44,"frozenset({'Electronics', 'Footwear'})",frozenset({'Clothing'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
45,frozenset({'Clothing'}),"frozenset({'Electronics', 'Footwear'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
46,frozenset({'Electronics'}),"frozenset({'Clothing', 'Footwear'})",0.39050675352045217,0.3896446019733691,0.156432608487403,0.40058874034097874,1.0280874887325082,0.004273759944013883,1.0182581461246412,0.044824343687477265
47,frozenset({'Footwear'}),"frozenset({'Clothing', 'Electronics'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
48,"frozenset({'Clothing', 'Electronics', 'Footwear'})",frozenset({'Bags'}),0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
49,"frozenset({'Bags', 'Clothing', 'Footwear'})",frozenset({'Electronics'}),0.2700929207778523,0.39050675352045217,0.156432608487403,0.5791807057989005,1.4831515731227087,0.05095949884558723,1.4483491010948883,0.44630349250141255
50,"frozenset({'Bags', 'Electronics', 'Footwear'})",frozenset({'Clothing'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
51,"frozenset({'Clothing', 'Electronics', 'Bags'})",frozenset({'Footwear'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
52,"frozenset({'Clothing', 'Footwear'})","frozenset({'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
53,"frozenset({'Electronics', 'Footwear'})","frozenset({'Clothing', 'Bags'})",0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
54,"frozenset({'Bags', 'Footwear'})","frozenset({'Clothing', 'Electronics'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
55,"frozenset({'Clothing', 'Electronics'})","frozenset({'Bags', 'Footwear'})",0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
56,"frozenset({'Clothing', 'Bags'})","frozenset({'Electronics', 'Footwear'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
57,"frozenset({'Electronics', 'Bags'})","frozenset({'Clothing', 'Footwear'})",0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
58,frozenset({'Footwear'}),"frozenset({'Clothing', 'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
59,frozenset({'Clothing'}),"frozenset({'Bags', 'Electronics', 'Footwear'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
60,frozenset({'Electronics'}),"frozenset({'Bags', 'Clothing', 'Footwear'})",0.39050675352045217,0.2700929207778523,0.156432608487403,0.40058874034097874,1.4831515731227085,0.05095949884558723,1.2177066537544852,0.5344769290553262
61,frozenset({'Bags'}),"frozenset({'Clothing', 'Electronics', 'Footwear'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
